Date,Brand Name(s),Product Description,Product Type,Recall Reason Description,Company Name
02/08/2018,N/A,Almond Drinking Powder,"Food & Beverages, Allergens, Food & Beverage Safety, Nuts & Nut Products",Undeclared Peanuts,"Feng Mao Biotechnology Organic Food Co., LTD."
02/08/2018,The Bakery,Peanut Butter Chocolate Chunk  Cookies,"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Undeclared Milk,Jimmy’s Cookies LLC
02/08/2018,TPF,Lemongrass Satay; and Shrimp Satay Sauces,"Food & Beverages, Food & Beverage Safety, Gravy/Sauces",Risk for Clostridum Botulinum,"TP Food Processing, Inc."
02/08/2018,Hummingbird,Organic Cocoa-Dusted Chocolate Ginger,"Food & Beverages, Allergens, Chocolate/Cocoa Product, Food & Beverage Safety",Undeclared Hazelnut,Hummingbird Wholesale
02/08/2018,Wegmans,O’Brien frozen hash browns,"Food & Beverages, Food & Beverage Safety, Prepared Food",Foreign Material,"McCain Foods USA, Inc."
02/08/2018,Whole Foods Market,Cold pressed apple juice,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared tree nut (cashew),Urban Remedy
02/08/2018,Tropic Fish Hawaii,Raw tuna,Food & Beverage Safety,Potential Hep. A contamination,"Tropic Fish Hawaii, LLC"
02/08/2018,Ellyndale Nutty Infusion,Cashew Butter,Food & Beverage Safety,Potential to be contaminated with Listeria monocytogenes,"NOW Health Group, Inc."
02/08/2018,Ben & Jerry’s,Ice Cream,"Food & Beverages, Allergens, Chocolate/Cocoa Product, Food & Beverage Safety",Allergen: Peanuts,Unilever
02/08/2018,(Save-A-Lot) Pick 5,Chicken & Waffle Sandwich,"Food & Beverages, Food & Beverage Safety",Contaminated with Listeria monocytogenes,Fourth Street Barbecue Inc.
02/08/2018,Whole Foods Market,Oatmeal Chocolate Chips Cookies,"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Allergen: Walnut,Whole Foods Market
02/08/2018,Chef Luca's,Baked Cheese Lasagna,"Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food",Allergen: Eggs,Italian Gluten Free Food CL
02/08/2018,BrightFarms,Salad Greens,"Food & Beverages, Food & Beverage Safety, Produce",Potential Prresence of Metal Pieces From Construction,BrightFarms
02/08/2018,California Sun Dry Foods,Sun-dried tomato pesto,"Food & Beverages, Allergens, Food & Beverage Safety, Gravy/Sauces",Allergen: Milk and Almonds,California Sun Dry
02/08/2018,Hampton Farms,Cashews,"Food & Beverages, Food & Beverage Safety, Tree Nuts",Listeria,Ava’s
02/08/2018,Taste of Inspirations,Greek pasta salad,"Food & Beverages, Allergens, Food & Beverage Safety",Allergen: Milk,"A.S.K. Foods, Inc. (Hannaford Supermarkets)"
02/08/2018,Schnucks Bakery,Cinnamon Pudding Half Cakes and Cake Slices,"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety, Nuts & Nut Products",Undeclared Walnuts,Schnucks Bakery
02/08/2018,Wholesome Country Creamery,Half & Half,"Food & Beverages, Food & Beverage Safety",due to the presence of Alkaline Phosphatase,Naturally Wholesome Products LLC
02/08/2018,Bakehouse,Cranberry Orange Bread,"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Allergen: Pecans and Tree Nuts,Fry’s Food Stores
02/08/2018,Southern Grove,Cashews Halves and Pieces with sea salt,"Food & Beverages, Food & Beverage Safety, Tree Nuts",Foreign Material,Star Snacks Co.
02/08/2018,CC Kitchens,Salad and Slaw kits containing leafy greens,"Food & Beverages, Food & Beverage Safety, Prepared Food",Listeria,CC Kitchens
02/08/2018,"Loving Pets, Whole Hearted",Dog treats,"Animal & Veterinary, Food & Beverage Safety",Potential to be contaminated with Salmonella,Loving Pets
02/08/2018,Simple Truth,Macadamia nuts,"Food & Beverages, Food & Beverage Safety",Potential to be contaminated with Listeria monocytogenes,The Kroger Co.
02/08/2018,Ellyndale Nutty Infusions,"Almond butter, Cashew butter","Food & Beverages, Butter/Butter Product, Food & Beverage Safety",Listeria,NOW Health Group Inc.
02/08/2018,Ava's,"Cashews, Almonds","Food & Beverages, Food & Beverage Safety",Potential to be contaminated with Listeria monocytogenes,Hampton Farms
02/08/2018,Fat Cat,Hot Sauce,"Food & Beverages, Allergens, Food & Beverage Safety, Gravy/Sauces",Undeclared peanut,Fat Cat Gourmet Foods
02/08/2018,"Market Basket, Wholesome Pantry, Nature’s Promise, more",Trail Mixes,"Food & Beverages, Food & Beverage Safety, Snack Food Item",Listeria monocytogenes,United Natural Trading LLC
02/08/2018,JFC International Inc.,Rice Seasoning,"Food & Beverages, Allergens, Food & Beverage Safety, Spices, Flavors &  Salts","Undeclared wheat, soy, and fish",JFC International Inc.
02/08/2018,Creamy Creations,Ice Cream,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared nut,HEB
02/08/2018,Publix,Tropical Medley Mix,"Food & Beverages, Food & Beverage Safety, Snack Food Item",Listeria monocytogenes,Publix Super Markets
02/08/2018,"BLUE Wilderness, Rocky Mountain Recipe",Dog food,"Animal & Veterinary, Food & Beverage Safety",elevated levels of naturally- occurring beef thyroid hormones,Blue Buffalo Company
02/08/2018,Nutiva,Protein shake,"Food & Beverages, Allergens, Food & Beverage Safety, Milk/Milk Product",Undeclared Peanuts,Nutiva
02/08/2018,Ronzoni,Thin Spaghetti,"Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food",Undeclared Egg Allergen,Riviana Foods Inc
02/08/2018,Nuvita,"Plant based superfood 30 shakes, chocolate flavor and vanilla flavor","Food & Beverages, Allergens, Food & Beverage Safety, Meal Replacements",Undeclared Peanuts,Nuvita
02/08/2018,Whole Foods Market,Banana Chocolate Chip Muffins,"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Undeclared Walnuts,Whole Foods Market
02/08/2018,Golden Flake,Potato chips,"Food & Beverages, Allergens, Food & Beverage Safety",Contain Milk and other Dairy Ingredients,"Golden Flake Snack Foods, Inc."
02/08/2018,Pictsweet Farms,Breaded Okra,"Food & Beverages, Food & Beverage Safety, Produce",May contain glass fragments,The Pictsweet Company
02/08/2018,Stauffer’s,Animal crackers,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Milk,D. F. Stauffer Biscuit Co.
02/08/2018,Chip’n Dipped,Dark Chocolate Bars,"Food & Beverages, Allergens, Chocolate/Cocoa Product, Food & Beverage Safety",Undeclared Milk,Chip’n Dipped
02/08/2018,Specialty Commodities,Almonds,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Cashew,"Specialty Commodities, Inc."
02/08/2018,Anarkali,Naan (bread),"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Undeclared milk,Raja Foods
02/08/2018,CLIF,Snack Bars,"Food & Beverages, Allergens, Food & Beverage Safety, Meal Replacements",Undeclared peanut and some tree nuts,Undeclared peanut and some tree nuts
02/08/2018,Ruth's,Pimento Spread,"Food & Beverages, Cheese/Cheese Product, Food & Beverage Safety",Listeria monocytogenes,Ruth's Salads
02/08/2018,Ruth's,Pimento Spread,"Food & Beverages, Cheese/Cheese Product, Food & Beverage Safety",May Contain Listeria Monocytogenes,Ruth's Salads
02/08/2018,Coborn’s and Cash Wise,Chocolate chip cookie bars,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,Coborn’s Inc
02/08/2018,Whole Foods Market,PB&J Greek Yogurt Parfaits,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Allergens - soy and tree nut (almond and coconut),Sunneen Health Foods
02/08/2018,Private Selection,Pie,"Food & Beverages, Allergens, Chocolate/Cocoa Product, Food & Beverage Safety",almonds and eggs were not listed in the ingredient statement,Legendary Baking
02/08/2018,"Great Midwest, Dutchmark",Cheese,"Food & Beverages, Cheese/Cheese Product, Food & Beverage Safety",Listeria,Saputo Inc.
02/08/2018,HyVee,Various Pepperoni Refrigerated Pizzas,"Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food",Undeclared Soy,"HyVee, Inc."
02/08/2018,Caribeña,Papaya Maradol,Food & Beverage Safety,Potential to be contaminated with Salmonella,Grande Produce
02/08/2018,liveGfree,Gluten Free Classic Soft White Hamburger Buns,"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Undeclared Egg,Vibrant Health Products
02/08/2018,The Comfy Cow,Ice Cream,"Food & Beverages, Food & Beverage Safety, Ice Cream/Frozen Dairy",E. coli,The Comfy Cow
02/08/2018,Meijer,Greek Salad,"Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food","mislabeled salads contain packaged croutons, which is an undeclared wheat allergen",Meijer
02/08/2018,Meijer,Muenster  Cheese,Food & Beverage Safety,Potential to be contaminated with Listeria monocytogenes,Meijer
02/08/2018,"Evanger's, Against the Grain","Hunk of Beef, Braised Beef, and Pulled Beef canned dog food","Animal & Veterinary, Food & Beverage Safety, Pet Food",Potential Adulteration with Pentobarbital,Evanger's Dog and Cat Food
02/08/2018,I.M. Healthy,Original creamy SoyNut Butter,"Food & Beverages, Butter/Butter Product, Food & Beverage Safety",may be contaminated with Escherichia coli O157:H7 bacteria (E. Coli O157:H7),SoyNut Butter Co.
02/08/2018,Vulto Creamery,Cheeses,Food & Beverage Safety,Listeria,Vulto Creamery
02/08/2018,GFS,Monterey Jack Cheese with Jalapeno Peppers,"Food & Beverages, Cheese/Cheese Product, Food & Beverage Safety",Possible Listeria Monocytogenes Contamination,Biery Cheese Co.
02/08/2018,7-Select,Mantecada (Muffin),"Food & Beverages, Allergens, Food & Beverage Safety",may contain undeclared “milk”,BAK-EZ Bakery Company
02/08/2018,"Specialty Commodities, Inc.",Dry Roasted Almonds,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared cashews,"Specialty Commodities, Inc."
02/07/2018,Mann Packing,Organic Veggies with Organic Ranch Dip,"Food & Beverages, Allergens, Food & Beverage Safety, Organic Food / Home Grown","Undeclared Milk, Soy, Eggs, Mustard",Mann Packing
02/07/2018,Chip’n Dipped,Dark chocolate crunch bar,"Food & Beverages, Allergens, Chocolate/Cocoa Product, Food & Beverage Safety",Undeclared milk,Chip’n Dipped
02/07/2018,"Hostess Brands, LLC",Holiday White Peppermint Hostess® Twinkies,"Food & Beverages, Food & Beverage Safety, Snack Food Item",Salmonella,"Hostess Brands, LLC"
02/07/2018,Peony Mark,Dried Lily Flower,"Food & Beverages, Allergens, Food & Beverage Safety, Snack Food Item",Undeclared Sulfites,Starway Incorporated
02/07/2018,Well Balance,Dietary Supplement,"Dietary Supplements, Food & Beverage Safety, Nutritional Supplement",Contains Banned Ephedra Alkaloids,Kingsway Trading Inc.
02/07/2018,Synergy Rx Pharmacy,Human Chorionic Gonadotropin (HCG)for injection,"Drugs,",Due to Lack of Sterility Assurance,Synergy Rx Pharmacy
02/07/2018,Meijer,Colby Cheese and Colby Jack Cheese,"Food & Beverages, Food & Beverage Safety",Potential to be contaminated with Listeria monocytogenes,Meijer
02/07/2018,Evanger’s,12oz Hunk of Beef Dog food,"Animal & Veterinary, Food & Beverage Safety, Pet Food",Pentobarbital,Evanger’s Dog & Cat Food Co.
02/07/2018,Isomeric Pharmacy Solutions,Multiple compounded sterile products,"Drugs,",Due to Lack of Sterility Assurance,Isomeric Pharmacy Solutions
02/07/2018,N/A,Decorated (iced) cookies,"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Undeclared Egg Allergen,Whole Foods Market
02/07/2018,The Smokehouse of NY,Smoked Fish,"Food & Beverages, Fish",Listeria,The Smokehouse of NY
02/07/2018,GoMacro,MacroBars and Thrive Bars,"Food & Beverages, Food & Beverage Safety",Listeria monocytogenes,GoMacro
02/07/2018,Tri-Ton,Tri-Ton dietary supplement,"Dietary Supplements,",Due to the Presence of Andarine and Ostarine,"Dynamic Technical Formulations, LLC"
02/07/2018,Bristol-Myers Squibb,Eliquis (apixaban) 5 mg Tablets,"Drugs, Generic Drugs",Labeling,Bristol-Myers Squibb
02/07/2018,Rough-N-Ready,Cattle Feed,"Animal & Veterinary,",Elevated levels of monensin,ADM Animal Nutrition
02/07/2018,"Ultra-Sten, D-Zine",Marketed as a dietary supplement,"Dietary Supplements, Drugs,",Unapproved drugs,Hardcore Formulations
02/07/2018,PharMEDium,Potassium Phosphate and Succinylcholine Chloride Intravia Bags,"Drugs, Prescription Drugs",Due to Lack of Sterility Assurance,PharMEDium Services
02/07/2018,Apace Packaging LLC,Cyclobenzaprine HCl Tablet and Amantadine HCl Capsule,"Drugs, Generic Drugs",Cyclobenzaprine HCL may contain Amantadine HCL Capsules,Apace Packaging LLC
02/07/2018,Cherry Valley,Cupcakes,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,Cherry Valley Marketplace
02/07/2018,King Soopers,Deli Chicken Salad Sandwich,"Food & Beverages, Food & Beverage Safety, Prepared Food",Listeria,King Soopers
02/07/2018,"Rhino 7, Papa Zen, Fifty Shades, and Grand X",Dietary Supplement,"Dietary Supplements,",Undeclared Sildenafil and Tadalafil,"Gadget Island, Inc. dba Gear Isle"
02/07/2018,Natural Grocers,Organic Deglet Noor Dates Pitted,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared coconut,"Vitamin Cottage Natural Food Markets, Inc."
02/07/2018,Death Wish Coffee Co.,Nitro Cold Brew Coffee,"Food & Beverages, Food & Beverage Safety",Potential for Botulin Toxin,Death Wish Coffee Co.
02/07/2018,Season’s Choice,Frozen Peas,"Food & Beverages, Food & Beverage Safety",Potential to be contaminated with Listeria monocytogenes,Lakeside Foods
02/07/2018,Homemade Gourmet,Dip Trio Mix,"Food & Beverages, Food & Beverage Safety, Gravy/Sauces, Salmonella",Salmonella,"Phoenix Food, LLC"
02/07/2018,"Aunt Jemima, Hungry Man","Pancakes, waffles, toast","Food & Beverages, Food & Beverage Safety, Prepared Food",Listeria monocytogenes,"Pinnacle Foods, Inc."
02/07/2018,Publix,Publix Deli Artichoke and Spinach Dip,"Food & Beverages, Food & Beverage Safety, Snack Food Item",Small glass fragments,Publix Super Markets
02/07/2018,Wegmans,Potato Salad,"Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food",Allergen: Eggs,"A.S.K. Foods, Inc."
02/07/2018,Green Chile Food Company,Various burritos,"Food & Beverages, Food & Beverage Safety",Potential to be contaminated with Listeria monocytogenes,"Green Chile Concepts, LLC"
02/07/2018,Kroger,Dessert cups,"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Allergen: Milk,Kroger
02/07/2018,Beyond Meat,Feisty Crumbles,"Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food",Undeclaared Peanuts,Beyond Meat
02/07/2018,Marich Confectionery,Chocolate Caramel Hearts,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Almonds,Marich Confectionery
02/07/2018,Cousins,Tomato Salad Dressing,"Food & Beverages, Allergens, Dressing/Condiment, Food & Beverage Safety",Undeclared Milk,Cousins Products LLC
02/07/2018,"Delallo, Dietz & Watson, Private Selections",Cheese,"Food & Beverages, Cheese/Cheese Product, Food & Beverage Safety",Possible Listeria Monocytogenes Contamination,Biery Cheese Co.
02/07/2018,Gerber,Cheese Ravioli Pasta Pick-Ups,"Food & Beverages, Allergens, Baby Food Product, Food & Beverage Safety",egg allergen is missing from the 'Contains' statement,Gerber Products Company
02/07/2018,Regeneca Worldwide,Various herbal and dietary supplements,"Food & Beverages, Food & Beverage Safety",Undeclared Active Pharmaceutical Ingredients,Regeneca Worldwide
02/06/2018,PharMEDium,Norepinephrine Bitartrate added to Sodium Chloride,"Drugs,",Found to exhibit a slight discoloration in the admixture,"PharMEDium Services, LLC"
02/06/2018,Hy-Vee,Candy Trays,"Food & Beverages, Food & Beverage Safety, Snack Food Item",Salmonella,"Name Hy-Vee, Inc."
02/06/2018,Advanced Pharma,"All unexpired sterile injectable products labeled “latex free” that were produced at Advanced Pharma, Inc.’s Houston location","Drugs, Generic Drugs",Potential Inaccuracy of Latex Free Label Reference,Avella Specialty Pharmacy
02/06/2018,A&H Focal Inc.,Dietary Supplements,"Dietary Supplements,",Undeclared PDE-5 Inhibitors,A&H Focal Inc.
02/06/2018,Lays and Miss Vickie’s,Jalapeno Flavored Kettle Cooked Potato Chips,"Food & Beverages, Food & Beverage Safety, Snack Food Item",Salmonella,Frito-Lay
02/06/2018,Roundy’s Brand and Harris Teeter Brand,Frozen hash browns,"Food & Beverages, Food & Beverage Safety, Prepared Food",Potential Foreign Material,"McCain Foods USA, Inc."
02/06/2018,Truxton Incorporated,"Amitriptyline HCL Tablets, USP 50mg andPhenobarbital Tablets, USP 15mg, 30mg, 60mg, 100mg","Animal & Veterinary, Drugs,",Label Mix-up Error,"C.O. Truxton, Inc."
02/06/2018,Advanced Pharma,Potassium Phosphate and Succinylcholine Chloride,"Drugs,",Due to Lack of Sterility Assurance,"Advanced Pharma, Inc. d/b/a Avella of Houston"
02/06/2018,"Teva Pharmaceuticals USA, Inc","Paliperidone Extended-Release Tablets, 3mg","Drugs,",Due to Dissolution Test Failure,"Teva Pharmaceuticals USA, Inc"
02/06/2018,Lupin,Mibelas 24 Fe (Norethindrone Acetate and Ethinyl Estradiol 1 mg/0.02 mg chewable and ferrous fumarate 75 mg),"Drugs, Generic Drugs",Missing Expiry,Lupin Pharmaceuticals Inc.
02/06/2018,Advanced Pharma,Nitroglycerin products,"Drugs,",Due To Sub-Potency,"Advanced Pharma, Inc. d/b/a Avella of Houston"
02/06/2018,Hospira,"8.4% Sodium Bicarbonate Injection, USP, NeutTM (Sodium Bicarbonate 4% additive solution), QUELICINTM (Succinylcholine Chloride Injection, USP) and Potassium Phosphates Injection, USP","Drugs,",Due to microbial growth,"Hospira Inc, A Pfizer Company"
02/06/2018,"Golden Temple®, Swad®, and Maya®",Flour,"Food & Beverages, Bakery Product/Mix",E.coli,Smucker Foods of Canada Corp.
02/06/2018,Atlantic Pharmacy and Compounding,All compounded injectable prescription medications,"Drugs, Generic Drugs",Lack of Sterility Assurance,"Vital Rx, Inc. d/b/a Atlantic Pharmacy and Compounding"
02/06/2018,"Leader, Major, Rugby",Liquid drug products,"Drugs,",Possible contamination,Cardinal Health
02/06/2018,Centurion,Ninjacof and Ninjacof A,"Drugs, Food & Beverages, Generic Drugs",Potential contamination with Burkholderia cepacia,Centurion Labs
02/06/2018,"International Laboratories, LLC",Pravastatin Sodium Tablets,"Drugs, Generic Drugs",Labeled as Pravastatin Sodium Tablets USP 40 mg but contained Bupropion Hydrochloride XL 300 mg tablets,"International Laboratories, LLC"
02/06/2018,"HYDROmorphone, Levophed","Hydromorphone HCl, Levophed","Drugs,",Due to Lack of Sterility Assurance,"Hospira, Inc."
02/06/2018,PharMEDium,Oxytocin,"Drugs, Generic Drugs",Sub-Potency,"PharMEDium Services, LLC"
02/06/2018,"Frutas Selectas de Tijuana, S. de R.L. of C.V.",Maradol Papayas,"Food & Beverages, Food & Beverage Safety",Potential to be contaminated with salmonella,Bravo Produce Inc.
02/06/2018,"Frutas Selectas de Tijuana, S. de R.L. of C.V.",Maradol Papayas,Food & Beverage Safety,Tested Positive for Salmonella,Bravo Produce Inc.
02/06/2018,Weis,Dried beef party rye dip,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Milk and Egg,Weis Markets
02/06/2018,H-E-B and Hill Country Fare,Sandwich Bread,"Food & Beverages, Food & Beverage Safety",Potential rubber in the product,H-E-B
02/06/2018,Caverflo,Natural Herbal Coffee,"Drugs, Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Active Pharmaceutical Ingredients and Undeclared Milk,Caverflo.com
02/06/2018,"Companion, Dentley's and more",Rawhide chew products,"Animal & Veterinary, Food & Beverage Safety, Pet Food",POSSIBLE CHEMICAL CONTAMINATION,"United Pet Group, a division of Spectrum Brands, Inc."
02/06/2018,Masa’s Gourmet,Sauces,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,"Rikki USA, Inc."
02/06/2018,Kabir’s Bakery,Pastries,"Food & Beverages, Food & Beverage Safety",Undeclared Milk,Kabir’s Bakery
02/06/2018,Falafel King,Tzatziki (cucumber) sauce,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Milk,Falafel King
02/06/2018,Choice Farms,Stuffed mushrooms,"Food & Beverages, Food & Beverage Safety, Produce",potential for Listeria monocytogenes contamination,Choice Farms LLC
02/06/2018,New of Kopi Jantan Tradisional,Natural Herbs Coffee Dietary Supplement,"Food & Beverages, Allergens, Coffee/Tea , Food & Beverage Safety","Unapproved new drug, Undeclared Milk Allergen",Bestherbs Coffee LLC
02/06/2018,Veggie Noodle Co,Butternut Spirals,"Food & Beverages, Food & Beverage Safety, Prepared Food",possible contamination with Listeria monocytogenes,Veggie Noodle Co
02/06/2018,Ditos,Fruit trays,"Food & Beverages, Allergens, Chocolate/Cocoa Product, Food & Beverage Safety",Undeclared Milk and Soy,Ditos
02/05/2018,Southern Grove,Unsalted Almonds,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Wheat and Soy,"Kanan Enterprises, Inc."
02/01/2018,Daisho,Kimchi Hot Pot Soup Base,"Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Crustacean Shellfish (Shrimp, Crab)",JFC International Inc.
01/29/2018,Limbrel,"Limbrel, Limbrel 250, Limbrel 500","Drugs,",Due to adverse event reports of elevated liver function tests or acute hypersensitivity pneumonitis,"Primus Pharmaceuticals, Inc."
01/29/2018,Panera,Cream Cheese,"Food & Beverages, Cheese/Cheese Product, Food & Beverage Safety, Foodborne Illness",Potential to be contaminated with Listeria monocytogenes,Panera
01/25/2018,AuroMedics,Levofloxacin in 5% Dextrose Injection 250mg/50mL,"Drugs,",Due to the Presence of Particulate Matter,AuroMedics Pharma LLC
01/25/2018,Bulletproof,Collagen Protein Dietary Supplement,"Dietary Supplements, Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,"Bulletproof 360, Inc."
01/24/2018,Basic Drugs,Senna Laxative,"Drugs,",Due to Mislabeling,"Magno-Humphries Laboratories, Inc."
01/24/2018,Sun Noodle,Tonkotsu Ramen,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Fish,Sun Noodle
01/24/2018,Multiple brands,Frozen green beans and mixed vegetables,"Food & Beverages, Food & Beverage Safety, Foodborne Illness",Potential to be contaminated with Listeria monocytogenes,National Frozen Foods Corporation
01/23/2018,Several Brands,"Cheeses, breads, and desserts","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Wheat, Soy, Egg, Milk and Undeclared Artificial Coloring",Productos Pacheco Inc.
01/23/2018,Several brands,Unapproved new drugs,Vitamins,Unapproved Drugs,"Flawless Beauty, LLC"
01/22/2018,JustFoodForDogs,Dog Food,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety, Pet Food, Foodborne Illness",Potential to be contaminated with Listeria monocytogenes,JustFoodForDogs
01/22/2018,Several Brands,"Cheeses, breads, and desserts","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Wheat, Soy, Egg, Milk and Undeclared Artificial Coloring",Productos Pacheco Inc.
01/21/2018,Arthri-D,Dietary Supplement,"Dietary Supplements, Food & Beverages, Food & Beverage Safety, Foodborne Illness",Potential to be contaminated with Salmonella,"Arthri-D, LLC"
01/21/2018,Zero For Him,Dietary Supplement,"Food & Beverages, Food & Beverage Safety, Foodborne Illness",Potential to be contaminated with Salmonella,Break Ventures / California Basics
01/19/2018,Palmer Bakery Delights,Sea Salt Caramel Hearts,"Food & Beverages, Allergens",Undeclared peanut,Palmer Candy Company
01/19/2018,Ottogi,Rice Cake Soup,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,"Ottogi America, Inc."
01/18/2018,Whole Foods Market,Cheesecake bars,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Almond Flour,Whole Foods Market
01/17/2018,Coconut Tree,Shredded Coconut,"Food & Beverages, Food & Beverage Safety, Foodborne Illness",Potential to be contaminated with salmonella,Evershing International Trading Company
01/17/2018,Michelina’s,Fettuccine Alfredo,"Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food",Undeclared Soy,"Bellisio Foods, Inc.,"
01/16/2018,Nexterone,Amiodarone HCl,"Drugs, Generic Drugs",Presence of Particulate Matter,Baxter International Inc
01/16/2018,Nexterone,Nexterone 150mg/100ml injection,"Drugs,",Due to the Presence of Particulate Matter,Baxter International Inc.
01/15/2018,"Hiland Dairy, Tampico","Orange Juice, Citrus Punch","Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,Hiland Dairy
01/12/2018,Rico,Tofu Breakfast Burrito,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Soy,Rico Brand
01/12/2018,"Top's, Purple Cow",Orange Cream Bars,"Food & Beverages, Food & Beverage Safety, Ice Cream/Frozen Dairy, Foodborne Illness",Potential to be contaminated with Listeria monocytogenes,Fieldbrook Foods Corporation
01/12/2018,"Various brands: Lucerne, Kroger, Sundae Shoppe.",Orange cream bars and chocolate coated vanilla ice cream bars,"Food & Beverages, Food & Beverage Safety, Ice Cream/Frozen Dairy, Foodborne Illness",Potential to be contaminated with Listeria monocytogenes,Fieldbrook Foods Corporation
01/12/2018,Sundae Shoppe,Raspberry Cream Bars,"Food & Beverages, Food & Beverage Safety, Ice Cream/Frozen Dairy, Foodborne Illness",Potential to be contaminated with Listeria monocytogenes,Fieldbrook Foods Corporation
01/11/2018,"PharMEDium Services, LLC",Compounded injectables,"Drugs, Generic Drugs",Lack of Sterility,"PharMEDium Services, LLC"
01/11/2018,PharMEDium Services LLC,Various compounded drug products intended to be sterile,"Drugs, Generic Drugs",Lack of Sterility,PharMEDium Services LLC
01/11/2018,Mary B’s®,Biscuits,"Food & Beverages, Food & Beverage Safety, Foodborne Illness",Potential to be contaminated with Listeria monocytogenes,"Hom/Ade Foods, Inc"
01/11/2018,Essential Everyday®,Coat & Bake Original Chicken Coating,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,Gilster – Mary Lee Corp.
01/10/2018,AuroMedics Pharma LLC,Ampicillin and Sulbactam for Injection USP,"Drugs, Generic Drugs",Presence of Glass Particles in Vial,AuroMedics Pharma LLC
01/10/2018,Rely,Dried Longya Lily,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Sulfites,Wells Collection Inc
01/10/2018,"International Laboratories, LLC","Clopidogrel Tablets USP, 75 mg","Drugs,",Due to Mislabeling,"International Laboratories, LLC"
01/05/2018,Chao Café,instant coffee,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,"Hong Lee Trading, Inc."
01/04/2018,Condies Foods,Fruit cup,"Food & Beverages, Allergens, Food & Beverage Safety, Produce",Undeclared milk and egg allergen,Condies Foods
01/03/2018,Polly Ann,Ice Bars,"Food & Beverages, Allergens, Food & Beverage Safety, Ice Cream/Frozen Dairy",Undeclared milk,"California Popsicle, Inc."
01/02/2018,"Southern Home, Shur Fine, Valu Time, more",biscuits,"Food & Beverages, Bakery Product/Mix, Food & Beverage Safety",Listeria monocytogenes,T. Marzetti Company
01/02/2018,New Seasons Market Grab and Go,Macaroni and Cheese,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared egg,New Seasons Market
12/29/2017,"Blue Marble, Roundy's Select, and HyVee",Dark Chocolate Products,"Food & Beverages, Allergens, Chocolate/Cocoa Product, Food & Beverage Safety",Allergen: Milk,GKI Foods LLC
12/29/2017,Uncle Buck’s and Family Choice,Dark Chocolate Peanuts,"Food & Beverages, Allergens, Chocolate/Cocoa Product, Food & Beverage Safety",Undeclared milk,Rucker’s Wholesale and Service Co
12/29/2017,"Wegmans, Alpine Valley, Circle K and others",Dark Chocolate Products,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,First Source
